% UltraMSK: version 1.1.1
% Site: fairbanks
% Date: 2022-03-04
% Frequency: 37500.000000 Hz
% Baud Rate: 200 Hz
% VLF Channel: 2
% PPS Channel: 1
% Jack Server: default
% Output Format: Polar
% End                  
00735.000  -83.69  126.83
00736.000  -83.75  126.97
00737.000  -83.84  128.02
00738.000  -83.76  127.04
00739.000  -83.93  128.17
00740.000  -83.53  127.10
00741.000  -83.89  126.67
00742.000  -83.73  124.82
00743.000  -83.60  126.54
00744.000  -83.67  125.82
00745.000  -83.80  126.24
00746.000  -83.83  126.24
00747.000  -83.77  125.69
00748.000  -83.34  124.85
00749.000  -83.61  124.90
00750.000  -83.69  126.13
00751.000  -83.75  126.22
00752.000  -83.56  124.41
00753.000  -83.52  124.68
00754.000  -83.70  124.48
00755.000  -83.79  124.74
00756.000  -83.61  122.46
00757.000  -83.31  124.21
00758.000  -83.30  122.78
00759.000  -83.35  123.72
00760.000  -83.43  124.01
00761.000  -83.39  123.55
00762.000  -83.37  122.78
00763.000  -83.29  123.96
00764.000  -83.18  121.63
00765.000  -83.19  122.13
00766.000  -83.25  121.59
00767.000  -83.34  121.88
00768.000  -83.13  121.20
00769.000  -83.12  121.99
00770.000  -83.14  121.75
00771.000  -83.14  120.28
00772.000  -82.85  120.56
00773.000  -83.15  120.83
00774.000  -83.15  117.64
00775.000  -83.08  120.32
00776.000  -83.09  118.61
00777.000  -83.07  119.71
00778.000  -83.14  120.28
00779.000  -82.71  119.61
00780.000  -83.13  118.77
00781.000  -83.09  118.82
00782.000  -83.03  117.33
00783.000  -83.03  117.47
00784.000  -82.95  117.84
00785.000  -82.95  117.56
00786.000  -83.05  117.71
00787.000  -82.88  116.56
00788.000  -83.08  117.68
00789.000  -82.94  117.97
00790.000  -83.16  115.72
00791.000  -83.24  116.29
00792.000  -83.08  115.77
00793.000  -83.00  116.71
00794.000  -82.92  116.68
00795.000  -82.96  117.99
00796.000  -83.11  117.65
00797.000  -82.96  116.53
00798.000  -83.12  116.84
00799.000  -83.07  116.91
00800.000  -83.12  117.05
00801.000  -83.22  116.33
00802.000  -82.96  115.98
00803.000  -82.98  117.26
00804.000  -83.13  116.43
00805.000  -83.31  115.93
00806.000  -83.04  114.75
00807.000  -82.78  116.01
00808.000  -82.84  115.58
00809.000  -83.00  115.92
00810.000  -82.87  116.52
00811.000  -82.88  116.12
00812.000  -83.13  114.30
00813.000  -82.96  116.26
00814.000  -82.92  115.59
00815.000  -82.79  115.43
00816.000  -82.91  114.67
00817.000  -82.93  114.52
00818.000  -82.83  115.39
00819.000  -82.74  115.96
00820.000  -82.90  115.55
00821.000  -82.86  115.76
00822.000  -82.84  115.21
00823.000  -82.91  115.70
00824.000  -82.89  113.54
00825.000  -82.85  114.94
00826.000  -82.65  114.64
00827.000  -82.63  113.56
00828.000  -82.70  113.26
00829.000  -82.75  113.31
00830.000  -82.83  113.70
00831.000  -82.83  113.14
00832.000  -82.63  114.74
00833.000  -82.85  113.57
00834.000  -82.67  112.84
00835.000  -82.53  113.43
00836.000  -82.70  112.62
00837.000  -82.67  113.84
00838.000  -82.56  112.40
00839.000  -82.84  112.03
00840.000  -82.72  111.84
00841.000  -82.61  112.37
00842.000  -82.56  111.16
00843.000  -82.64  113.20
00844.000  -82.80  112.14
00845.000  -82.61  112.44
00846.000  -82.95  112.27
00847.000  -82.61  111.88
00848.000  -82.75  111.10
00849.000  -82.50  111.52
00850.000  -82.55  111.83
00851.000  -82.42  111.65
00852.000  -82.75  111.16
00853.000  -82.49  112.54
00854.000  -82.64  112.50
00855.000  -82.75  113.39
00856.000  -82.77  112.99
00857.000  -82.77  112.96
00858.000  -82.61  112.67
00859.000  -82.59  111.88
00860.000  -82.58  112.66
00861.000  -82.59  111.41
00862.000  -82.62  110.92
00863.000  -82.65  111.52
00864.000  -82.75  111.39
00865.000  -82.66  111.27
00866.000  -82.65  111.62
00867.000  -82.45  112.80
00868.000  -82.82  113.01
00869.000  -82.76  110.83
00870.000  -82.71  112.63
00871.000  -82.92  112.29
00872.000  -82.68  112.86
00873.000  -82.57  112.04
00874.000  -82.60  112.40
00875.000  -82.78  111.19
00876.000  -82.65  112.09
00877.000  -82.70  110.73
00878.000  -82.67  112.86
00879.000  -82.86  111.65
00880.000  -82.71  111.15
00881.000  -82.51  111.80
00882.000  -82.45  111.51
