% UltraMSK: version 1.1.1
% Site: fairbanks
% Date: 2022-03-05
% Frequency: 16400.000000 Hz
% Baud Rate: 200 Hz
% VLF Channel: 2
% PPS Channel: 1
% Jack Server: default
% Output Format: Polar
% End                  
00693.000  -60.35 -174.48
00694.000  -60.40 -178.01
00695.000  -60.24  179.16
00696.000  -60.45  175.71
00697.000  -60.46  171.62
00698.000  -60.44  167.63
00699.000  -60.42  164.88
00700.000  -60.36  161.79
00701.000  -60.43  158.82
00702.000  -60.46  154.95
00703.000  -60.45  152.37
00704.000  -60.57  148.55
00705.000  -60.57  144.96
00706.000  -60.56  141.69
00707.000  -60.61  138.60
00708.000  -60.56  136.07
00709.000  -60.64  131.89
00710.000  -60.59  128.13
00711.000  -60.50  125.80
00712.000  -60.65  122.56
00713.000  -60.62  118.92
00714.000  -60.63  116.29
00715.000  -60.62  112.53
00716.000  -60.56  109.73
00717.000  -60.62  106.32
00718.000  -60.59  102.85
00719.000  -60.57   99.70
00720.000  -60.55   96.23
00721.000  -60.58   92.49
00722.000  -60.63   89.44
00723.000  -60.50   85.99
00724.000  -60.50   83.04
00725.000  -60.52   79.68
00726.000  -60.41   76.70
00727.000  -60.49   72.81
00728.000  -60.50   70.17
00729.000  -60.70   66.73
00730.000  -60.51   62.95
00731.000  -60.62   59.15
00732.000  -60.54   56.37
00733.000  -60.54   53.24
00734.000  -60.43   50.05
00735.000  -60.58   46.46
00736.000  -60.52   43.83
00737.000  -60.59   40.40
00738.000  -60.68   36.76
00739.000  -60.53   34.44
00740.000  -60.48   31.46
00741.000  -60.63   27.97
00742.000  -60.62   25.22
00743.000  -60.65   21.96
00744.000  -60.54   19.07
00745.000  -60.54   15.29
00746.000  -60.44   12.32
00747.000  -60.46    9.60
00748.000  -60.54    5.57
00749.000  -60.42    2.01
00750.000  -60.34   -0.25
00751.000  -60.30   -4.36
00752.000  -60.42   -7.34
00753.000  -60.35  -10.81
00754.000  -60.40  -14.34
00755.000  -60.43  -17.25
00756.000  -60.25  -20.10
00757.000  -60.25  -23.73
00758.000  -60.30  -27.00
00759.000  -60.39  -29.75
00760.000  -60.29  -34.06
00761.000  -60.21  -37.09
00762.000  -60.27  -40.44
00763.000  -60.30  -43.51
00764.000  -60.22  -47.45
00765.000  -60.26  -49.94
00766.000  -60.35  -53.71
00767.000  -60.28  -56.71
00768.000  -60.32  -60.00
00769.000  -60.36  -63.32
00770.000  -60.29  -66.78
00771.000  -60.26  -69.53
00772.000  -60.36  -72.67
00773.000  -60.33  -76.04
00774.000  -60.46  -79.57
00775.000  -60.37  -82.34
00776.000  -60.40  -85.60
00777.000  -60.52  -89.35
00778.000  -60.55  -92.20
00779.000  -60.50  -95.36
00780.000  -60.39  -98.08
00781.000  -60.55 -101.19
00782.000  -60.59 -105.43
00783.000  -60.43 -108.61
00784.000  -60.51 -111.95
00785.000  -60.49 -114.68
00786.000  -60.40 -118.65
00787.000  -60.49 -122.10
00788.000  -60.50 -124.81
00789.000  -60.47 -128.43
00790.000  -60.52 -131.84
00791.000  -60.59 -135.09
00792.000  -60.48 -138.53
00793.000  -60.50 -141.89
00794.000  -60.48 -144.79
